Joueur,Nationalité,Minutes jouées,Min / match,% Minutes jouées,Éq. 90 min,Titulaire,Min / titularisation,Matchs complétés,Entrées en jeu,Min / entrée,Pas remplacé après entrée,Points / match,Buts marqués (ON),Buts encaissés (ON),Différence de buts (ON),Différence / 90 min (ON),Impact On – Off,xG marqués (ON),xG encaissés (ON),Différence xG (ON),Différence xG / 90 min (ON),Impact xG On – Off
Kembo Diliwidi,fr FRA,4.0,4.0,0.1,0.0,0,,0,1,4.0,1,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.95,0.76
Hervé Boua Dié,fr FRA,,,,,0,,0,0,,1,,,,,,,,,,,
Nidal Celik,ba BIH,,,,,0,,0,0,,10,,,,,,,,,,,
Adam Delplace,fr FRA,,,,,0,,0,0,,7,,,,,,,,,,,
Ismaëlo Ganiou,bf BFA,,,,,0,,0,0,,1,,,,,,,,,,,
Massadio Haïdara,ml MLI,,,,,0,,0,0,,1,,,,,,,,,,,
Ilan Jourdren,fr FRA,,,,,0,,0,0,,1,,,,,,,,,,,
Roman Karolewicz,fr FRA,,,,,0,,0,0,,2,,,,,,,,,,,
Oscar Lenne,fr FRA,,,,,0,,0,0,,1,,,,,,,,,,,
Denis Petrić,rs SRB,,,,,0,,0,0,,7,,,,,,,,,,,
Souleymane Sagnan,fr FRA,,,,,0,,0,0,,1,,,,,,,,,,,
